| 275311:5026 | 06/18/16 06:07:07 | 1253 | 1253 | 0.110651647    | 0.108015050   |
| 275319:5027 | 06/18/16 18:56:15 | 152  | 146  | 0.027849971    | 0.024647864   |
| 275337:5027 | 06/18/16 21:26:04 | 433  | 430  | 0.072808404    | 0.068989273   |
| 275338:5027 | 06/19/16 00:15:37 | 520  | 520  | 0.078279634    | 0.075749680   |
| 275344:5028 | 06/19/16 08:18:25 | 293  | 287  | 0.055037639    | 0.050722207   |
| 275345:5028 | 06/19/16 10:12:11 | 353  | 353  | 0.062652247    | 0.059911242   |
| 275370:5029 | 06/19/16 16:19:29 | 291  | 291  | 0.055920212    | 0.052091600   |
| 275371:5029 | 06/19/16 18:16:49 | 569  | 569  | 0.100184760    | 0.094980778   |
| 275375:5030 | 06/20/16 02:17:12 | 1327 | 1327 | 0.216056608    | 0.207472096   |
| 275376:5030 | 06/20/16 10:55:04 | 3096 | 3096 | 0.334800524    | 0.326027959   |
| 275657:5038 | 06/24/16 03:32:32 | 111  | 109  | 0.026368447    | 0.022832913   |
| 275658:5038 | 06/24/16 04:16:07 | 344  | 344  | 0.080400307    | 0.074609968   |
| 275659:5038 | 06/24/16 06:31:38 | 17   | 17   | 0.003813599    | 0.003683591   |
| 275761:5043 | 06/25/16 04:24:16 | 11   | 11   | 0.002346518    | 0.001681831   |
| 275767:5043 | 06/25/16 05:31:36 | 8    | 8    | 0.001611087    | 0.000712075   |
| 275772:5043 | 06/25/16 06:28:17 | 61   | 61   | 0.011821780    | 0.010451059   |
| 275773:5043 | 06/25/16 06:53:33 | 21   | 12   | 0.004000320    | 0.001193548   |
| 275774:5043 | 06/25/16 07:01:55 | 317  | 316  | 0.059075303    | 0.055616598   |
| 275776:5043 | 06/25/16 09:11:23 | 149  | 143  | 0.026301200    | 0.023487065   |
| 275777:5043 | 06/25/16 10:12:24 | 304  | 304  | 0.051032323    | 0.048382200   |
| 275778:5043 | 06/25/16 12:13:15 | 319  | 319  | 0.050004335    | 0.046162239   |
| 275782:5043 | 06/25/16 14:44:49 | 761  | 761  | 0.104347220    | 0.100440869   |
| 275832:5045 | 06/26/16 17:18:04 | 371  | 371  | 0.079108510    | 0.073405157   |
| 275833:5045 | 06/26/16 19:45:07 | 251  | 251  | 0.049127955    | 0.046797338   |
| 275834:5045 | 06/26/16 21:26:02 | 303  | 297  | 0.055576256    | 0.052459222   |
| 275835:5045 | 06/26/16 23:24:23 | 20   | 13   | 0.003530158    | 0.002089769   |
